Producer: 2025/06/25 23:29:36 producer.go:24: 🚀 Starting 10 producer(s) at 2025-06-25 23:29:36
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-10 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-1 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-6 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-5 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-4 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-3 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-7 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-2 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-9 started
Producer: 2025/06/25 23:29:36 producer.go:40: 🧵 Producer-8 started
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232939-7132 | Type=email
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232939-6389 | Type=notification
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232939-8798 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232939-3751 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232939-4695 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232939-1625 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232939-6053 | Type=email
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-6: Enqueued Task ID=task-20250625232939-9742 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232939-7479 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232939-0502 | Type=notification
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232939-1123 | Type=data_backup
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232939-9753 | Type=email
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-4: Enqueued Task ID=task-20250625232939-0733 | Type=notification
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232939-3356 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-8: Enqueued Task ID=task-20250625232939-6710 | Type=image_resize
Producer: 2025/06/25 23:29:39 producer.go:66: ✅ Producer-2: Enqueued Task ID=task-20250625232939-0265 | Type=email
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-1: Enqueued Task ID=task-20250625232940-1279 | Type=image_resize
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-9: Enqueued Task ID=task-20250625232940-7338 | Type=email
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-7: Enqueued Task ID=task-20250625232940-8322 | Type=notification
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-5: Enqueued Task ID=task-20250625232940-8396 | Type=notification
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-3: Enqueued Task ID=task-20250625232940-8513 | Type=data_backup
Producer: 2025/06/25 23:29:40 producer.go:66: ✅ Producer-10: Enqueued Task ID=task-20250625232940-8445 | Type=notification
